[Section 3 -- Щ]

54.859569, 83.101559 AFP
54.860534, 83.105192 эдэм
54.860507, 83.108379 быстроном
54.860622, 83.111619 военкомат
54.857751, 83.110373 Гуси
54.870107, 83.087525 Pallet бар

[Section 2 -- Морской проспект]

54.845624, 83.096472 мед центр
54.84341, 83.100228 золотая роща
54.849086, 83.105932 Мышь
54.842482, 83.110857 парк им Лаврентьева
54.843263, 83.109807 ярче
54.841145, 83.102086 мария ра
54.840051, 83.094431 ТЦ
54.839274, 83.088027 свиток

[Section 1 -- Пирогова]

54.836009, 83.10096 ДУ
54.83478, 83.099032 больница
54.829962, 83.103048 Еж возле пруда с утками
54.838758, 83.105638 Додо пицца
54.839483, 83.108387 Два дракона
54.839861, 83.10946 Invitro
54.83597, 83.099153 Meps

[Section 4 -- дополнительно]

54.868484, 83.077685 сеятель
54.865934, 83.08088 фикс прайс
54.864161, 83.08594 Суши Восток
54.859969, 83.093085 Юность
54.851658, 83.114004 Граффити на Будкера
54.862245, 83.098927 Шашлык-Ян
